platform_code,time,latitude,longitude
,UTC,degrees_north,degrees_east
1101571,2026-09-03T12:59:00Z,-14.322,-3.2252
1101571,2026-09-03T13:59:00Z,-14.3138,-3.2384
1101571,2026-09-03T14:59:00Z,-14.3033,-3.2508
1101571,2026-09-03T15:59:00Z,-14.2933,-3.2648
1101571,2026-09-03T16:59:00Z,-14.2858,-3.2808
1101571,2026-09-03T17:59:00Z,-14.2773,-3.2982
1101571,2026-09-03T18:59:00Z,-14.268,-3.3141
1101571,2026-09-03T20:00:00Z,-14.26,-3.3315
1101571,2026-09-03T20:59:00Z,-14.2527,-3.351
1101571,2026-09-03T22:00:00Z,-14.2469,-3.3692
1101571,2026-09-03T22:59:00Z,-14.2426,-3.3849
1101571,2026-09-03T23:59:00Z,-14.2393,-3.3995
1101571,2026-09-04T00:59:00Z,-14.2367,-3.4122
1101571,2026-09-04T01:59:00Z,-14.2366,-3.4233
1101571,2026-09-04T02:59:00Z,-14.2352,-3.4369
1101571,2026-09-04T03:59:00Z,-14.2347,-3.4503
1101571,2026-09-04T04:59:00Z,-14.2336,-3.4653
1101571,2026-09-04T06:00:00Z,-14.2321,-3.4801
1101571,2026-09-04T06:59:00Z,-14.2303,-3.4928
1101571,2026-09-04T08:00:00Z,-14.2277,-3.5054
1101571,2026-09-04T08:59:00Z,-14.2245,-3.5183
1101571,2026-09-04T10:59:00Z,-14.2167,-3.5447
1101571,2026-09-04T12:00:00Z,-14.2137,-3.5597
1101571,2026-09-04T12:59:00Z,-14.2137,-3.5742
1101571,2026-09-04T13:59:00Z,-14.2127,-3.5904
1101571,2026-09-04T14:59:00Z,-14.212,-3.6062
1101571,2026-09-04T15:59:00Z,-14.2143,-3.622
1101571,2026-09-04T16:59:00Z,-14.2156,-3.6363
1101571,2026-09-04T17:59:00Z,-14.2149,-3.6485
1101571,2026-09-04T18:59:00Z,-14.2122,-3.6604
1101571,2026-09-04T19:59:00Z,-14.21,-3.6714
1101571,2026-09-04T20:59:00Z,-14.2084,-3.6808
1101571,2026-09-04T21:59:00Z,-14.2062,-3.6909
1101571,2026-09-04T23:00:00Z,-14.2023,-3.7006
1101571,2026-09-04T23:59:00Z,-14.1993,-3.7119
1101571,2026-09-05T00:59:00Z,-14.1981,-3.7227
1101571,2026-09-05T01:59:00Z,-14.1968,-3.7338
1101571,2026-09-05T02:59:00Z,-14.1958,-3.7415
1101571,2026-09-05T04:00:00Z,-14.1958,-3.75
1101571,2026-09-05T04:59:00Z,-14.195,-3.7589
1101571,2026-09-05T05:59:00Z,-14.1957,-3.7692
1101571,2026-09-05T06:59:00Z,-14.1931,-3.7806
1101571,2026-09-05T07:59:00Z,-14.1903,-3.7904
1101571,2026-09-05T08:59:00Z,-14.1869,-3.8018
1101571,2026-09-05T09:59:00Z,-14.1837,-3.8111
1101571,2026-09-05T10:59:00Z,-14.1808,-3.82
1101571,2026-09-05T12:00:00Z,-14.1791,-3.8313
1101571,2026-09-05T12:59:00Z,-14.1795,-3.8409
1101571,2026-09-05T13:59:00Z,-14.1787,-3.8512
1101571,2026-09-05T14:59:00Z,-14.1755,-3.8609
1101571,2026-09-05T16:00:00Z,-14.1701,-3.8698
1101571,2026-09-05T16:59:00Z,-14.1654,-3.8787
1101571,2026-09-05T17:59:00Z,-14.1615,-3.8873
1101571,2026-09-05T18:59:00Z,-14.1579,-3.8955
1101571,2026-09-05T19:59:00Z,-14.1533,-3.9044
1101571,2026-09-05T20:59:00Z,-14.1504,-3.9141
1101571,2026-09-05T22:00:00Z,-14.1486,-3.9238
1101571,2026-09-05T22:59:00Z,-14.1447,-3.933
1101571,2026-09-05T23:59:00Z,-14.1419,-3.9424
1101571,2026-09-06T00:59:00Z,-14.1376,-3.9531
1101571,2026-09-06T02:00:00Z,-14.1337,-3.9634
1101571,2026-09-06T03:00:00Z,-14.1297,-3.9725
1101571,2026-09-06T03:59:00Z,-14.1255,-3.981
1101571,2026-09-06T05:00:00Z,-14.1199,-3.989
1101571,2026-09-06T05:59:00Z,-14.1157,-3.997
1101571,2026-09-06T06:59:00Z,-14.1127,-4.0069
1101571,2026-09-06T08:00:00Z,-14.1078,-4.0168
1101571,2026-09-06T08:59:00Z,-14.1044,-4.0279
1101571,2026-09-06T09:59:00Z,-14.1004,-4.0376
1101571,2026-09-06T10:59:00Z,-14.0948,-4.0462
1101571,2026-09-06T12:00:00Z,-14.091,-4.0586
1101571,2026-09-06T12:59:00Z,-14.0856,-4.0732
1101571,2026-09-06T13:59:00Z,-14.0789,-4.0861
1101571,2026-09-06T14:59:00Z,-14.0751,-4.101
1101571,2026-09-06T15:59:00Z,-14.0721,-4.1178
1101571,2026-09-06T16:59:00Z,-14.0734,-4.1317
1101571,2026-09-06T18:00:00Z,-14.0777,-4.1439
